candidate_name,sold_count_90d,median_price,p25_price,p75_price,price_stability,score,score_safe,pct_auction,pct_new,pct_used,pct_for_parts,pct_unknown,top5_titles
BMW G20 M Sport wheels,77,207.66,149.89,495.0,1.365,42.843,42.843,1.3,13.0,87.0,0.0,0.0,"GENUINE BMW G42 G20 M Performance 19"" 893M Alloy Wheels, Michelin Tyres. SUPERB! ; Genuine BMW 3 4 series 19” 797M Alloy Wheels Tyres G20 G21 G22 23 M Sport Plus ; BMW G20 Style M790 3 Or 4 Series M Sport Staggered 18” Alloy Wheels, NEW 5x112 ; Genuine BMW 3 4 series 19” 797M Alloy Wheels Tyres G20 G21 G22 23 M Sport Plus ; 19'' GENUINE BMW 3 SERIES 4 792 M SPORT G20 G21 G22 G23 ALLOY WHEELS TYRES"
BMW M Performance carbon shift paddles F80,235,94.45,54.19,149.99,1.219,40.25,40.25,0.0,55.7,44.3,0.0,0.0,NEW BMW M2 F87 M3 F80 M4 F82 M PERFORMANCE CARBON FIBRE ENGINE COVER 11122413815 ; CARBON FIBRE CUSTOM STEERING WHEEL fit BMW 4 SERIES G22 G82 G83 M4 M5 F90 G80 M3 ; LED Carbon Heat Steering Wheel for BMW F06 F12 M5 F30 F80 M3 F82 F20 F10 M Sport (For: BMW M) ; BMW LED Carbon Fibre Steering Wheel (F Series) F10 F20 F22 F30 F32 F87 F80 F82 ; BMW Custom LED Carbon Fibre Steering Wheel F Series F20/F22/F30/F31/F32/F33/F80
BMW F30 M Sport 400M wheels,65,144.95,74.9,299.9,1.247,37.446,37.446,1.5,1.5,98.5,0.0,0.0,"BMW 3 4 Series 18” 400 M Alloy Wheels Refurbished Gloss Black F30 E90 Genuine ; Genuine 18"" BMW 400M 3 & 4 Series Alloy Wheels F30 F31 F32: GLOSS BLACK & TYRES ; Genuine 18"" BMW 400M in OEM SILVER Alloy Wheels F30 F31 F32 F33 (USA SHIPPING) ; Genuine 18"" BMW 400M 3 4 Series Alloys Wheels F30 F31 F32 F33 REFURBISHED BLACK ; Genuine BMW 400m alloy wheels & tyres staggered 3 4 series 5x120 F30 31 32 E91"
BMW G80 M3 826M wheels,246,189.99,69.23,487.5,2.136,33.968,33.968,0.4,66.7,33.3,0.0,0.0,"4 Genuine BMW Alloy Wheel Styling 826 M 9.5Jx19 ET20 7882867 M2 G87 M3 G80 G81 M4 G82 ; BMw G80 G82 G87 M2 M3 M4 Edelweiss wheels and tyres ; BMW M3 M4 G80 G81 G82 G83 - Set of 4 19"" / 20"" 826M Alloy Wheels & Tyres - Black ; BMW M3 M4 G80 G81 G82 G83 - Set of 4 19"" / 20"" 826M Alloy Wheels & Tyres - Black ; GENUINE BMW G42 G20 M Performance 19"" 893M Alloy Wheels, Michelin Tyres. SUPERB!"
BMW M Performance digital cluster F80,222,115.05,40.5,213.73,1.655,33.05,33.05,1.4,68.9,31.1,0.0,0.0,BMW M3 M4 F80 F82 MPE M Performance Full Titanium Exhaust ; BMW M3/M4 Dinan Performance Exhaust G80/G81 /G82 /G83 (2021-2026) ; NEW BMW M2 F87 M3 F80 M4 F82 M PERFORMANCE CARBON FIBRE ENGINE COVER 11122413815 ; BMW 370 380mm M Performance Brembo Brake Calipers For: M2 M3 M4 F80 F82 F83 F87 ; Genuine BMW M Performance CarbonFibre Dash Alcantara 51459642617 G30 G20 G42 G80
BMW F80 M3 437M wheels,254,148.92,49.99,370.17,2.097,30.784,30.784,0.8,58.3,41.7,0.0,0.0,"Genuine BMW M437 19 Inch M3 F80 M4 F82 F83 Winter Wheels 437M Winter Tyres Rims ; BMW M3 F80 2015 INTERIOR SEATS 4 DOOR SALOON (For: BMW M3) ; 4 Genuine BMW Alloy Wheels Styling 437 M 9Jx19 ET29 2284550 M2 F87 M3 F80 M4 F82 F83 F ; GENUINE BMW 19"" M2 M3 M4 437M ALLOY WHEELS & TYRES TPMS F80 F82 F83 F87 ; 4 Genuine BMW Alloy Wheel Styling 437 M 9Jx19 ET29 2284550 M2 F87 M3 F80 M4 F82 F83 FB"
KW V3 coilovers BMW F80 M3,240,161.43,49.98,299.24,2.336,28.607,28.607,0.0,57.9,42.1,0.0,0.0,BMW M2 / M3 / M4 F80 F82 F83 F87 – BTCC Big Brake Kit – AP Racing CP9660 Complet ; KW Suspension V3 Coilover Kit Fits BMW M2 Coupe (F87) & M2 Competition (F87) ; KW Suspension V3 Coilover Kit For BMW M2 Coupe & M2 Competition - (352200BH) ; BMW M3 F80 2015 INTERIOR SEATS 4 DOOR SALOON (For: BMW M3) ; Ohlins Coilovers with Millway Camber Plates - BMW F80 M3/ F82 M4/F87 M2
Akrapovic exhaust BMW F80 M3,229,139.99,83.9,189.95,2.497,24.773,24.773,0.0,83.4,16.6,0.0,0.0,BMW F80 M3 M4 Akrapovic Titanium Exhaust System With Carbon Fibre Tips ; Milltek BMW M5 F90 Exhaust System Inc Competition Axle Back 80mm Black SSXBM1175 ; Milltek BMW M4 F82 Exhaust & M3 F80 Equal Length LOUDEST Polish Tips SSXBM1146 (For: BMW M3) ; BMW M3 M4 F80 F82 MPE M Performance Full Titanium Exhaust ; Eisenmann rear section VRSF Single Mid Pipe 2015 – 2019 BMW M3 M4 F80 F82
BMW M Performance carbon front splitter F80 M3,246,83.94,54.99,183.5,2.034,23.651,23.651,0.0,95.9,4.1,0.0,0.0,"GENUINE BMW G26 4 Series, i4, M Performance Front Splitter 51195A36851 Carbon. X ; Original BMW Carbon front splitter kit G80 / G81 M3 / G82 / G83 M4 51192475168 ; Original BMW Carbon front splitter kit G80 / G81 M3 / G82 / G83 M4 51192475168 ; NEW BMW M2 F87 M3 F80 M4 F82 M PERFORMANCE CARBON FIBRE ENGINE COVER 11122413815 ; Original BMW Carbon splitter G80 / G81 M3 / G82 / G83 M4 51192475168-factory 2nd"
BMW M Performance carbon engine cover F80,232,96.04,51.3,193.57,2.176,23.471,23.471,0.9,78.9,21.1,0.0,0.0,BMW M3 M4 F80 F82 F83 Full Lightweight Carbon Fibre Front Bumper ; NEW BMW M2 G87 M3 G80 M4 G82 M PERFORMANCE CARBON FIBRE ENGINE COVER 11145B311A3 ; For BMW F80 M3 F30 3 Series 2012-19 Carbon Fiber Rear Trunk Boot Lid Cover Trim ; Real Carbon Fibre Bonnet Engine Hood Lid Cover BMW F80 M3 F82 F83 M4 2014-2019 ; NEW BMW M2 F87 M3 F80 M4 F82 M PERFORMANCE CARBON FIBRE ENGINE COVER 11122413815
